,coordinates,count,lng,lat,max_dist
106,-75.77004099999999_42.746617,91561,-75.77004099999999,42.746617,31.79221967637412
107,-73.83118750000001_40.67087955,91558,-73.83118750000001,40.67087955,9.71472688578676
108,4.27160745_51.92445735,90675,4.27160745,51.92445735,23.96884595446392
109,-119.30660750000004_37.2691755,90596,-119.30660750000004,37.2691755,30.202749463471996
110,-106.4174305_31.79336815,90446,-106.4174305,31.79336815,23.54161194091815
111,-122.63090815_45.536401749999996,89956,-122.63090815,45.53640175,15.677251769678437
112,-42.7848228_-5.1863182,89464,-42.7848228,-5.1863182,72.84957950970232
113,-37.100742_-11.0036456,89267,-37.100742,-11.0036456,57.47520360629683
114,3.318066_6.59061115,89211,3.318066,6.59061115,1.9234589200679209
115,-115.1351649_36.0609645,89102,-115.1351649,36.0609645,6.424624675656007
116,-74.84993300176001_10.958072878585,88815,-74.84993300176001,10.958072878585,8.496151960970685
117,-79.42086499999999_38.0033755,88320,-79.42086499999999,38.0033755,24.87987937045892
118,-86.1429225_39.7795625,88302,-86.1429225,39.7795625,9.230128883308168
119,-89.2665075_39.7393005,88287,-89.2665075,39.7393005,30.95675124349154
120,-48.1014604_-10.115636,87715,-48.1014604,-10.115636,355.8567185496256
121,-85.9785995_35.8305215,87555,-85.9785995,35.8305215,54.3756110804615
122,-121.8737305_37.331159,87370,-121.8737305,37.331159,6.646795606842041
123,49.9945458_26.3535916,86761,49.9945458,26.3535916,4.506790179325341
124,80.88440750000001_26.8251695,86739,80.88440750000001,26.8251695,74.97941946934692
125,-89.62361100000001_20.941035,86500,-89.62361100000001,20.941035,18.741694215523474
126,-98.1542665_19.0322295,85475,-98.1542665,19.0322295,28.044142930779604
127,-75.3864607_39.1450234,85208,-75.3864607,39.1450234,89.19764255656838
128,115.928318688_-32.150100419750004,85054,115.928318688,-32.150100419750004,991.2162307461197
129,-103.4847745_20.7906572,84989,-103.4847745,20.7906572,13.354600261263242
130,-57.60601775000001_-25.300263700000002,84634,-57.60601775000001,-25.3002637,9.70949748096973
131,-48.478899_-27.6096907,84625,-48.478899,-27.6096907,0.0
132,50.06785815_53.3214725,84547,50.06785815,53.3214725,341.578438677989
133,-38.5026475_-12.8753345,83946,-38.5026475,-12.8753345,95.95279120816325
134,-77.2759528_18.1154073,83378,-77.2759528,18.1154073,52.419555093203016
135,-2.23348_53.4569527,83058,-2.23348,53.4569527,2.6258041925056967
